Timesteps,MAPPO (ƛ = 0),MAPPO (ƛ = 0.05),MAPPO (ƛ = 0.10),MAPPO (ƛ = 0) (std),MAPPO (ƛ = 0.05) (std),MAPPO (ƛ = 0.10) (std)
0,1.359375,0.9375,1.125,0.2209708691207961,0.2209708691207961,0.2209708691207961
10000,1.671875,1.25,1.5,0.2209708691207961,0.2209708691207961,0.2651650429449553
20000,2.5625,2.5625,3.3125,0.6242834434039825,0.8622584202739533,1.1698245951138715
30000,2.3125,3.3125,2.5,0.5567559730633042,1.1149726734319545,0.9900218326717178
40000,2.578125,2.5625,2.6875,0.5521398359451164,0.9960860906568267,0.8955183554791046
50000,2.96875,2.3125,2.75,0.6087536896705432,0.8942087983239708,0.829156198
60000,3.296875,3.1875,2.8125,0.6839056473840596,0.9045807697754905,0.7801480323508817
70000,2.921875,3.4375,3.3125,0.6602206355964729,0.9284909391626517,0.7933878532686808
80000,3.703125,4,3.375,0.7439033528293137,1.0113826997125162,0.7974024670418599
90000,3.625,4.3125,5,0.7730051050032665,1.093779761499849,1.0688941585686687
100000,3.78125,4.8125,4.9375,0.8025367052990615,1.2039530061049273,1.1954874909044808
110000,4.3125,4.5,3.3125,0.8812387504654852,1.2297964809145037,1.1427990126585397
120000,4.71875,6.1875,6.875,0.9795475212332307,1.456070818182997,1.5236023702699821
130000,4.375,4.4375,5.375,1.0043662192665812,1.4295573091956564,1.5610295278479478
140000,5.234375,5.5625,6.125,1.1066185994742637,1.4849442830657062,1.650836277971461
150000,5.171875,5,6.625,1.1675527931273957,1.4791740023292281,1.757998832716715
160000,5.09375,4.3125,6.8125,1.201802295,1.4412315697000257,1.8474616802322235
170000,6.171875,6.5625,7.0625,1.3238984434974055,1.553758225781285,1.9299412433062255
180000,5.65625,5.1875,4.8125,1.3657645843125479,1.5409700891936462,1.8809178054704232
190000,5.625,6.8125,6.8125,1.392949482092882,1.6335805845797107,1.919868844889918
200000,4.9375,7.75,7.125,1.3779999740825208,1.7840021554012178,1.966379430699017
210000,5.125,7.3125,6.5625,1.3695728456932998,1.8603072415621722,1.9692942712931585
220000,6.15625,6.8125,6.125,1.4140248811682015,1.887102738,1.950719120973803
230000,5.890625,8.375,7.875,1.4325860204779466,2.0092911451049353,2.018257290009759
240000,5.921875,7.4375,8.375,1.447220587327798,2.044692697978517,2.1022588298066442
